scode,sname,amccode
113327,Baroda Pioneer Mid-cap Fund- Plan A - Growth Option,4
119392,Baroda Pioneer Mid-cap Fund- Plan B (Direct) - Growth Option,4
119313,Baroda Pioneer Mid-cap Fund-Plan B (Direct)-Dividend Option,4
102661,BARODA PIONEER MIP FUND - Plan A - Growth Option,4
102662,BARODA PIONEER MIP FUND - Plan A - Monthly Dividend Option,4
102663,BARODA PIONEER MIP FUND - Plan A - Quarterly Dividend Option,4
119389,BARODA PIONEER MIP FUND - Plan B (Direct) - Growth Option,4
119391,BARODA PIONEER MIP FUND - Plan B (Direct) - Quarterly Dividend Option,4
119390,BARODA PIONEER MIP FUND - Plan B (Direct)- Monthly Dividend Option,4
119399,Baroda Pioneer Short Term Bond Fund  - Plan B (Direct) - Monthly Dividend Option,4
113037,Baroda Pioneer Short Term Bond Fund - Plan A -  Monthly Dividend Option,4
113036,Baroda Pioneer Short Term Bond Fund - Plan A - Growth Option,4
140465,Baroda Pioneer Short Term Bond Fund - Plan A - Quarterly Dividend Payout,4
140463,Baroda Pioneer Short Term Bond Fund - Plan B - (Direct) - Quarterly Dividend Payout,4
119400,Baroda Pioneer Short Term Bond Fund - Plan B (Direct) - Growth Option,4
125136,Baroda Pioneer Treasury Advantage Fund - Plan A - Bonus Option,4
125137,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Bonus Option,4
119309,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Daily Dividend Option,4
119410,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Growth Option,4
119411,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Monthly Dividend Option,4
119439,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Quarterly Dividend Option,4
119409,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Weekly Dividend Option,4
112032,Baroda Pioneer Treasury Advantage Fund- Plan A- Daily Dividend Option,4
112029,Baroda Pioneer Treasury Advantage Fund- Plan A- Growth Option,4
112035,Baroda Pioneer Treasury Advantage Fund- Plan A- Monthly Dividend Option,4
112034,Baroda Pioneer Treasury Advantage Fund- Plan A- Quarterly Dividend Option,4
112033,Baroda Pioneer Treasury Advantage Fund- Plan A- Weekly Dividend Option,4
112025,Baroda Pioneer Treasury Advantage Fund- Regular Plan - Daily Dividend Option,4
112031,Baroda Pioneer Treasury Advantage Fund- Regular Plan - Growth Option,4
112027,Baroda Pioneer Treasury Advantage Fund- Regular Plan - Monthly Dividend Option,4
112028,Baroda Pioneer Treasury Advantage Fund- Regular Plan - Quarterly Dividend Option,4
112026,Baroda Pioneer Treasury Advantage Fund- Regular Plan - Weekly Dividend Option,4
123864,Aditya Birla Sun Life Government Securities Fund - Short Term Plan - Weekly Dividend - Regular Plan,3
131902,Aditya Birla Sun Life 5 Star Multi Manager FoF Scheme - Direct Plan - Dividend Option,3
131901,Aditya Birla Sun Life 5 Star Multi Manager FoF Scheme - Direct Plan - Growth Option,3
131900,Aditya Birla Sun Life 5 Star Multi Manager FoF Scheme - Regular Plan - Dividend Option,3
131899,Aditya Birla Sun Life 5 Star Multi Manager FoF Scheme - Regular Plan - Growth Option,3
131897,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Direct Plan - Dividend Option,3
131898,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Direct Plan - Growth Option,3
131895,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Regular Plan - Dividend Option,3
131896,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Regular Plan - Growth Option,3
119433,Aditya Birla Sun Life Advantage Fund - Dividend - Direct Plan,3
119436,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,3
100033,Aditya Birla Sun Life Advantage Fund - Regular Growth,3
100034,Aditya Birla Sun Life Advantage Fund -Regular Dividend,3
119492,Aditya Birla Sun Life Asset Allocation - Aggressive Plan - Dividend - Direct Plan,3
119493,Aditya Birla Sun Life Asset Allocation - Aggressive Plan - Growth - Direct Plan,3
119491,Aditya Birla Sun Life Asset Allocation - Moderate Plan - Dividend - Direct Plan,3
119495,Aditya Birla Sun Life Asset Allocation - Moderate Plan - Growth - Direct Plan,3
102184,Aditya Birla Sun Life Asset Allocation Fund-Aggressive Plan-Dividend Plan,3
102185,Aditya Birla Sun Life Asset Allocation Fund-Aggressive Plan-Growth Plan,3
102188,Aditya Birla Sun Life Asset Allocation Fund-Conservative Plan-Dividend Plan,3
102189,Aditya Birla Sun Life Asset Allocation Fund-Conservative Plan-Growth Plan,3
102186,Aditya Birla Sun Life Asset Allocation Fund-Moderate Plan-Dividend Plan,3
102187,Aditya Birla Sun Life Asset Allocation Fund-Moderate Plan-Growth Plan,3
119494,Aditya Birla Sun Life Asset Allocation-Conservative Plan - Dividend - Direct Plan,3
119490,Aditya Birla Sun Life Asset Allocation-Conservative Plan - Growth - Direct Plan,3
131866,Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme - Direct Plan - Dividend Option,3
131865,Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme - Direct Plan - Growth Option,3
131863,Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme - Regular Plan - Dividend Option,3
131864,Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme - Regular Plan - Growth Option,3
120518,Aditya Birla Sun Life Balanced '95 Fund - Direct Plan-Dividend,3
120517,Aditya Birla Sun Life Balanced '95 Fund - Direct Plan-Growth,3
103154,Aditya Birla Sun Life Balanced '95 Fund - Regular Plan-Dividend,3
103155,Aditya Birla Sun Life Balanced '95 Fund - Regular Plan-Growth,3
131671,Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Dividend Option,3
